assembly_accession,organism_name,taxid,assembly_level,domain,phylum,class,order,family,genus,species,in_train,fna_path,gtf_path,genome_length,sequence_headers,num_sequences,category
GCF_001589345.2,Riemerella_anatipestifer,34085,Complete Genome,bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001589345.2/GCF_001589345.2_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001589345.2/GCF_001589345.2_annotation.gtf.gz,2220138.0,NZ_CP088073.1,1.0,bacteria
GCF_034479125.1,Kangiella_aquimarina,261965,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Kangiellales,Kangiellaceae,Kangiella,Kangiella aquimarina,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_034479125.1/GCF_034479125.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_034479125.1/GCF_034479125.1_annotation.gtf.gz,2687146.0,NZ_CP140158.1,1.0,bacteria
GCF_000317065.1,Pseudanabaena_sp._PCC_7367,82654,Complete Genome,bacteria,Cyanobacteriota,Cyanophyceae,Pseudanabaenales,Pseudanabaenaceae,Pseudanabaena,Pseudanabaena sp. PCC 7367,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000317065.1/GCF_000317065.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000317065.1/GCF_000317065.1_annotation.gtf.gz,4885680.0,NC_019701.1;NC_019690.1,2.0,bacteria
GCF_000010405.1,Candidatus_Vesicomyosocius_okutanii,412965,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,,Candidatus Pseudothioglobaceae,Candidatus Vesicomyosocius,Candidatus Vesicomyosocius okutanii,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000010405.1/GCF_000010405.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000010405.1/GCF_000010405.1_annotation.gtf.gz,1022154.0,NC_009465.1,1.0,bacteria
GCF_002209165.2,Mammaliicoccus_sciuri,1296,Complete Genome,bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Mammaliicoccus,Mammaliicoccus sciuri,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002209165.2/GCF_002209165.2_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002209165.2/GCF_002209165.2_annotation.gtf.gz,2853815.0,NZ_CP022046.2;NZ_CP022047.2,2.0,bacteria
GCF_900637795.1,Weeksella_virosa,1014,Complete Genome,bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Weeksella,Weeksella virosa,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_900637795.1/GCF_900637795.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_900637795.1/GCF_900637795.1_annotation.gtf.gz,2287133.0,NZ_LR134404.1,1.0,bacteria
GCF_048315725.1,Oceanimonas_smirnovii,264574,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Oceanimonas,Oceanimonas smirnovii,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_048315725.1/GCF_048315725.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_048315725.1/GCF_048315725.1_annotation.gtf.gz,3170593.0,NZ_CP166302.1;NZ_CP166303.1,2.0,bacteria
GCF_000014725.1,Syntrophomonas_wolfei_subsp._wolfei_str._Goettingen_G311,335541,Complete Genome,bacteria,Bacillota,Clostridia,Eubacteriales,Syntrophomonadaceae,Syntrophomonas,Syntrophomonas wolfei subsp. wolfei str. Goettingen G311,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000014725.1/GCF_000014725.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000014725.1/GCF_000014725.1_annotation.gtf.gz,2936195.0,NC_008346.1,1.0,bacteria
GCF_001046835.1,Limosilactobacillus_reuteri,1598,Complete Genome,bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus reuteri,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001046835.1/GCF_001046835.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001046835.1/GCF_001046835.1_annotation.gtf.gz,1993967.0,NZ_CP011024.1,1.0,bacteria
GCF_044095835.1,Cedecea_davisae,158484,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,Cedecea davisae,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_044095835.1/GCF_044095835.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_044095835.1/GCF_044095835.1_annotation.gtf.gz,5031214.0,NZ_CP172054.1;NZ_CP172053.1,2.0,bacteria
GCF_900104745.1,Actinopolymorpha_singaporensis,117157,Chromosome,bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Actinopolymorphaceae,Actinopolymorpha,Actinopolymorpha singaporensis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_900104745.1/GCF_900104745.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_900104745.1/GCF_900104745.1_annotation.gtf.gz,6403669.0,NZ_LT629732.1,1.0,bacteria
GCF_023716465.1,Flagellimonas_marinaquae,254955,Complete Genome,bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flagellimonas,Flagellimonas marinaquae,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_023716465.1/GCF_023716465.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_023716465.1/GCF_023716465.1_annotation.gtf.gz,3776802.0,NZ_CP092415.1;NZ_CP092416.1,2.0,bacteria
GCF_033126985.1,Methylomarinovum_caldicuralii,438856,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylothermaceae,Methylomarinovum,Methylomarinovum caldicuralii,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_033126985.1/GCF_033126985.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_033126985.1/GCF_033126985.1_annotation.gtf.gz,2694844.0,NZ_AP024714.1,1.0,bacteria
GCF_001969245.1,Delftia_acidovorans,80866,Complete Genome,bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,Delftia acidovorans,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001969245.1/GCF_001969245.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001969245.1/GCF_001969245.1_annotation.gtf.gz,6556728.0,NZ_CP019171.1,1.0,bacteria
GCF_049562855.1,Ruminococcus_callidus,40519,Complete Genome,bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus callidus,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_049562855.1/GCF_049562855.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_049562855.1/GCF_049562855.1_annotation.gtf.gz,3228728.0,NZ_CP186925.1,1.0,bacteria
GCF_017794985.1,Marinobacter_sp.,50741,Chromosome,bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinobacteraceae,Marinobacter,Marinobacter sp.,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_017794985.1/GCF_017794985.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_017794985.1/GCF_017794985.1_annotation.gtf.gz,4272196.0,NZ_CP051241.1,1.0,bacteria
GCF_000155735.2,Octadecabacter_arcticus_238,391616,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Roseobacteraceae,Octadecabacter,Octadecabacter arcticus 238,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000155735.2/GCF_000155735.2_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000155735.2/GCF_000155735.2_annotation.gtf.gz,5478249.0,NC_020908.1;NC_020909.1;NC_020910.1,3.0,bacteria
GCF_002386265.1,Weissella_paramesenteroides,1249,Complete Genome,bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Weissella,Weissella paramesenteroides,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002386265.1/GCF_002386265.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002386265.1/GCF_002386265.1_annotation.gtf.gz,1947910.0,NZ_CP023501.1,1.0,bacteria
GCF_013085545.1,Oceanidesulfovibrio_marinus,370038,Complete Genome,bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Oceanidesulfovibrio,Oceanidesulfovibrio marinus,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_013085545.1/GCF_013085545.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_013085545.1/GCF_013085545.1_annotation.gtf.gz,4761435.0,NZ_CP039543.1,1.0,bacteria
GCF_002966535.1,Oenococcus_oeni,1247,Complete Genome,bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus oeni,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002966535.1/GCF_002966535.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002966535.1/GCF_002966535.1_annotation.gtf.gz,1876981.0,NZ_CP014324.1,1.0,bacteria
GCF_001274515.1,Candidatus_Carsonella_ruddii,114186,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Candidatus Carsonella,Candidatus Carsonella ruddii,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001274515.1/GCF_001274515.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001274515.1/GCF_001274515.1_annotation.gtf.gz,174018.0,NZ_CP012411.1,1.0,bacteria
GCF_000742995.1,Stenotrophomonas_maltophilia,40324,Chromosome,bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,Stenotrophomonas maltophilia,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000742995.1/GCF_000742995.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000742995.1/GCF_000742995.1_annotation.gtf.gz,4989312.0,NZ_CP008838.1,1.0,bacteria
GCF_004328865.1,Pseudoalteromonas_carrageenovora,227,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas carrageenovora,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_004328865.1/GCF_004328865.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_004328865.1/GCF_004328865.1_annotation.gtf.gz,4597803.0,NZ_CP027523.1;NZ_CP027524.1;NZ_CP027525.1,3.0,bacteria
GCF_901482605.1,Hathewaya_histolytica,1498,Complete Genome,bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Hathewaya,Hathewaya histolytica,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_901482605.1/GCF_901482605.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_901482605.1/GCF_901482605.1_annotation.gtf.gz,2740791.0,NZ_LR590481.1,1.0,bacteria
GCF_000152825.2,Parvularcula_bermudensis_HTCC2503,314260,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Parvularculales,Parvularculaceae,Parvularcula,Parvularcula bermudensis HTCC2503,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000152825.2/GCF_000152825.2_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000152825.2/GCF_000152825.2_annotation.gtf.gz,2902643.0,NC_014414.1,1.0,bacteria
GCF_024927925.1,Laceyella_sacchari,37482,Complete Genome,bacteria,Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Laceyella,Laceyella sacchari,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_024927925.1/GCF_024927925.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_024927925.1/GCF_024927925.1_annotation.gtf.gz,3383707.0,NZ_CP103866.1;NZ_CP103867.1,2.0,bacteria
GCF_043632995.1,Pseudoxanthomonas_japonensis,69284,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Pseudoxanthomonas,Pseudoxanthomonas japonensis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_043632995.1/GCF_043632995.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_043632995.1/GCF_043632995.1_annotation.gtf.gz,4487544.0,NZ_CP171632.1;NZ_CP171633.1;NZ_CP171634.1,3.0,bacteria
GCF_000018605.1,Petrotoga_mobilis_SJ95,403833,Complete Genome,bacteria,Thermotogota,Thermotogae,Petrotogales,Petrotogaceae,Petrotoga,Petrotoga mobilis SJ95,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000018605.1/GCF_000018605.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000018605.1/GCF_000018605.1_annotation.gtf.gz,2169548.0,NC_010003.1,1.0,bacteria
GCF_009685195.1,Methylocystis_parvus,134,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Methylocystaceae,Methylocystis,Methylocystis parvus,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_009685195.1/GCF_009685195.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_009685195.1/GCF_009685195.1_annotation.gtf.gz,4529043.0,NZ_CP044331.1;NZ_CP044332.1;NZ_CP044333.1,3.0,bacteria
GCF_003574175.1,Geobacter_sulfurreducens,35554,Complete Genome,bacteria,Thermodesulfobacteriota,Desulfuromonadia,Geobacterales,Geobacteraceae,Geobacter,Geobacter sulfurreducens,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_003574175.1/GCF_003574175.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_003574175.1/GCF_003574175.1_annotation.gtf.gz,3726411.0,NZ_AP017912.1,1.0,bacteria
GCF_002370195.2,Ureibacillus_thermosphaericus,51173,Complete Genome,bacteria,Bacillota,Bacilli,Bacillales,Caryophanaceae,Ureibacillus,Ureibacillus thermosphaericus,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002370195.2/GCF_002370195.2_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002370195.2/GCF_002370195.2_annotation.gtf.gz,3488104.0,NZ_AP018335.1,1.0,bacteria
GCF_016726985.1,Myroides_odoratus,256,Complete Genome,bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Myroides,Myroides odoratus,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_016726985.1/GCF_016726985.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_016726985.1/GCF_016726985.1_annotation.gtf.gz,4242475.0,NZ_CP068108.1,1.0,bacteria
GCF_001648175.1,Halotalea_alkalilenta,376489,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halotalea,Halotalea alkalilenta,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001648175.1/GCF_001648175.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001648175.1/GCF_001648175.1_annotation.gtf.gz,4387428.0,NZ_CP015243.1,1.0,bacteria
GCF_018075365.1,Virgibacillus_pantothenticus,1473,Complete Genome,bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Virgibacillus,Virgibacillus pantothenticus,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_018075365.1/GCF_018075365.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_018075365.1/GCF_018075365.1_annotation.gtf.gz,4761851.0,NZ_CP073011.1,1.0,bacteria
GCF_000590375.1,Xanthomonas_campestris,339,Chromosome,bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Xanthomonas,Xanthomonas campestris,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000590375.1/GCF_000590375.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000590375.1/GCF_000590375.1_annotation.gtf.gz,5054308.0,NZ_CM002638.1;NZ_ATNQ01000008.1,2.0,bacteria
GCF_020510525.1,Quatrionicoccus_australiensis,138118,Complete Genome,bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Azonexaceae,Quatrionicoccus,Quatrionicoccus australiensis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_020510525.1/GCF_020510525.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_020510525.1/GCF_020510525.1_annotation.gtf.gz,4171110.0,NZ_CP075188.1,1.0,bacteria
GCF_000763575.1,Thermoanaerobacter_kivui,2325,Complete Genome,bacteria,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,Thermoanaerobacter kivui,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000763575.1/GCF_000763575.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000763575.1/GCF_000763575.1_annotation.gtf.gz,2397824.0,NZ_CP009170.1,1.0,bacteria
GCF_002197485.1,Anoxybacillus_flavithermus,33934,Complete Genome,bacteria,Bacillota,Bacilli,Bacillales,Anoxybacillaceae,Anoxybacillus,Anoxybacillus flavithermus,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002197485.1/GCF_002197485.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002197485.1/GCF_002197485.1_annotation.gtf.gz,2830124.0,NZ_CP021838.1;NZ_CP021839.1,2.0,bacteria
GCF_000016285.1,Allorhizobium_ampelinum_S4,311402,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Allorhizobium,Allorhizobium ampelinum S4,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000016285.1/GCF_000016285.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000016285.1/GCF_000016285.1_annotation.gtf.gz,6320946.0,NC_011989.1;NC_011988.1;NC_011986.1;NC_011991.1;NC_011984.1;NC_011981.1;NC_011982.1,7.0,bacteria
GCF_030166575.1,Caminicella_sporogenes,166485,Complete Genome,bacteria,Bacillota,Clostridia,Peptostreptococcales,Caminicellaceae,Caminicella,Caminicella sporogenes,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_030166575.1/GCF_030166575.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_030166575.1/GCF_030166575.1_annotation.gtf.gz,2482259.0,NZ_CP126462.1,1.0,bacteria
GCF_006088775.1,Arcanobacterium_haemolyticum,28264,Chromosome,bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium haemolyticum,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_006088775.1/GCF_006088775.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_006088775.1/GCF_006088775.1_annotation.gtf.gz,1986154.0,NZ_CP034038.1,1.0,bacteria
GCF_022406875.1,Ectothiorhodosinus_mongolicus,233100,Chromosome,bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Ectothiorhodosinus,Ectothiorhodosinus mongolicus,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_022406875.1/GCF_022406875.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_022406875.1/GCF_022406875.1_annotation.gtf.gz,1995195.0,NZ_CP023018.1,1.0,bacteria
GCF_000761115.1,Lactococcus_lactis,1358,Complete Genome,bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus lactis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000761115.1/GCF_000761115.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000761115.1/GCF_000761115.1_annotation.gtf.gz,2398091.0,NZ_CP009472.1,1.0,bacteria
GCF_011765465.1,Erythrobacter_sp.,1042,Complete Genome,bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter,Erythrobacter sp.,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_011765465.1/GCF_011765465.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_011765465.1/GCF_011765465.1_annotation.gtf.gz,3303132.0,NZ_CP050265.1,1.0,bacteria
GCF_001590605.1,Pedobacter_cryoconitis,188932,Complete Genome,bacteria,Bacteroidota,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter cryoconitis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001590605.1/GCF_001590605.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001590605.1/GCF_001590605.1_annotation.gtf.gz,5950539.0,NZ_CP014504.1,1.0,bacteria
GCF_019931005.1,Granulicatella_adiacens,46124,Complete Genome,bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Granulicatella,Granulicatella adiacens,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_019931005.1/GCF_019931005.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_019931005.1/GCF_019931005.1_annotation.gtf.gz,1965420.0,NZ_CP082858.1,1.0,bacteria
GCF_002205315.1,Achromobacter_denitrificans,32002,Complete Genome,bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter denitrificans,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002205315.1/GCF_002205315.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002205315.1/GCF_002205315.1_annotation.gtf.gz,6929205.0,NZ_CP020917.1,1.0,bacteria
GCF_027947635.1,Nitratidesulfovibrio_vulgaris,881,Complete Genome,bacteria,Thermodesulfobacteriota,Desulfovibrionia,Desulfovibrionales,Desulfovibrionaceae,Nitratidesulfovibrio,Nitratidesulfovibrio vulgaris,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_027947635.1/GCF_027947635.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_027947635.1/GCF_027947635.1_annotation.gtf.gz,3896149.0,NZ_CP116246.1;NZ_CP116248.1;NZ_CP116247.1,3.0,bacteria
GCF_008151785.1,Peptacetobacter_hiranonis,89152,Complete Genome,bacteria,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptacetobacter,Peptacetobacter hiranonis,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_008151785.1/GCF_008151785.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_008151785.1/GCF_008151785.1_annotation.gtf.gz,2521899.0,NZ_CP036523.1,1.0,bacteria
GCF_000196455.1,Acetoanaerobium_sticklandii,1511,Complete Genome,bacteria,Bacillota,Clostridia,Peptostreptococcales,Filifactoraceae,Acetoanaerobium,Acetoanaerobium sticklandii,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000196455.1/GCF_000196455.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_000196455.1/GCF_000196455.1_annotation.gtf.gz,2715461.0,NC_014614.1,1.0,bacteria
GCF_002163585.1,Tatumella_citrea,53336,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Tatumella,Tatumella citrea,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002163585.1/GCF_002163585.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_002163585.1/GCF_002163585.1_annotation.gtf.gz,4491252.0,NZ_CP015579.1;NZ_CP015580.1,2.0,bacteria
GCF_001026985.1,Pragia_fontium,82985,Complete Genome,bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Budviciaceae,Pragia,Pragia fontium,False,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001026985.1/GCF_001026985.1_genomic.fna.gz,/cs/usr/stavperez/sp/genomes_new/genomes_from_ncbi_unique_genus/GCF_001026985.1/GCF_001026985.1_annotation.gtf.gz,4094629.0,NZ_CP010423.1,1.0,bacteria
